  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029740 99999 201708011220 200  20 ***  60 *** * * *  6.2 ** ** ** ** ** ** ** ** *   72   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011250 200  20 *** 200 *** * * *  6.2 ** ** ** ** ** ** ** ** *   72   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011300 235  17  25 722 SCT * * * 31.2 ** ** ** ** 00 ** ** ** *   72   56 1016.4 ***** 1010.1 *** *** ***** ***** ***** *****  0 
029740 99999 201708011320 210  18 *** 200 *** * * *  6.2 ** ** ** ** ** ** ** ** *   72   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011350 220  20 ***  59 *** * * *  6.2 ** ** ** ** ** ** ** ** *   70   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011400 224  17  26 722 SCT * * * 31.2 ** ** ** ** 00 ** ** ** *   71   56 1016.7 ***** 1010.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708011420 220  15 *** 120 *** * * *  6.2 ** ** ** ** ** ** ** ** *   70   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011450 210  20 ***  90 *** * * *  6.2 ** ** ** ** ** ** ** ** *   70   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011500 222  18  23 *** BKN * * * 31.2 ** ** ** ** 00 ** ** ** 0   68   57 1016.9 ***** 1010.6 *** *** ***** ***** ***** *****  0 
029740 99999 201708011520 210  18 ***  80 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   59 ****** 30.03 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011550 210  18 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   59 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011600 232  16  25  80 OVC * * * 31.2 ** ** ** ** 00 ** ** ** *   67   58 1016.7 ***** 1010.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708011620 210  16 ***  80 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011650 210  14 ***  60 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
