"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Rovaniemi railway station","2024","6","4","18:00","19.4","55.6","3.6"
"Rovaniemi railway station","2024","6","4","19:00","20.3","44.7","5"
"Rovaniemi railway station","2024","6","4","20:00","20.1","39.5","5.4"
"Rovaniemi railway station","2024","6","4","21:00","19.7","37.4","5.1"
"Rovaniemi railway station","2024","6","4","22:00","18.6","38.2","2.9"
"Rovaniemi railway station","2024","6","4","23:00","15.9","50.3","1.2"
"Rovaniemi railway station","2024","6","5","00:00","13.8","61.9","1.2"
"Rovaniemi railway station","2024","6","5","01:00","12.5","71.3","0.9"
"Rovaniemi railway station","2024","6","5","02:00","10.8","81.5","1.2"
"Rovaniemi railway station","2024","6","5","03:00","10.5","-","-"
"Rovaniemi railway station","2024","6","5","04:00","9.6","89.3","3"
"Rovaniemi railway station","2024","6","5","05:00","9.8","89.3","1.5"
"Rovaniemi railway station","2024","6","5","06:00","11.1","84.9","1.9"
"Rovaniemi railway station","2024","6","5","07:00","13.9","73.2","2.7"
"Rovaniemi railway station","2024","6","5","08:00","15.3","70.1","3.6"
"Rovaniemi railway station","2024","6","5","09:00","16.9","66.8","3.1"
"Rovaniemi railway station","2024","6","5","10:00","18.4","59.9","3.7"
"Rovaniemi railway station","2024","6","5","11:00","20.1","43.1","3.9"
"Rovaniemi railway station","2024","6","5","12:00","20.9","37.4","5.1"
"Rovaniemi railway station","2024","6","5","13:00","22.1","35.8","6.2"
"Rovaniemi railway station","2024","6","5","14:00","22.8","33.7","5.9"
"Rovaniemi railway station","2024","6","5","15:00","23","36.8","5.4"
"Rovaniemi railway station","2024","6","5","16:00","24","33.1","6.4"
"Rovaniemi railway station","2024","6","5","17:00","24.4","30","6.7"
"Rovaniemi railway station","2024","6","5","18:00","24.6","30.7","5.6"
"Rovaniemi railway station","2024","6","5","19:00","24.9","32.3","6.1"
"Rovaniemi railway station","2024","6","5","20:00","24.9","33.8","5.9"
"Rovaniemi railway station","2024","6","5","21:00","24.5","35.6","5.5"
"Rovaniemi railway station","2024","6","5","22:00","23.6","37.9","3.6"
"Rovaniemi railway station","2024","6","5","23:00","22","43.4","2.8"
"Rovaniemi railway station","2024","6","6","00:00","20.1","51.1","3.1"
"Rovaniemi railway station","2024","6","6","01:00","18.9","55.2","3.5"
"Rovaniemi railway station","2024","6","6","02:00","18.2","58.8","4.5"
"Rovaniemi railway station","2024","6","6","03:00","17.2","63.6","4.9"
"Rovaniemi railway station","2024","6","6","04:00","16.7","65.1","4.7"
"Rovaniemi railway station","2024","6","6","05:00","16.4","65.7","5.1"
